,col_num,name,owned
4,1,White Tin,0
5,2,Tin,0
8,5,Driftwood - Light,0
9,6,Driftwood - Medium Light,0
10,7,Driftwood,0
12,9,Cocoa - Very Dark,0
13,10,Tender Green - Very Light,0
14,11,Tender Green - Light,0
15,12,Tender Green,0
16,13,Nile Green - Medium Light,0
17,14,Apple Green - Pale,0
18,15,Apple Green,0
19,16,Chartreuse - Light,0
20,17,Yellow Plum - Light,0
21,18,Yellow Plum,0
22,19,Autumn Gold - Medium Light,0
23,20,Shrimp,0
24,21,Alizarian - Light,0
25,22,Alizarian,0
26,23,Apple Blossom,0
27,24,White Lavender,0
28,25,Lavender - Ultra Light,0
29,26,Lavender - Pale,0
30,27,White Violet,0
31,28,Eggplant - Medium Light,0
32,29,Eggplant,0
33,30,Blueberry - Medium Light,0
34,31,Blueberry,0
35,32,Blueberry - Dark,0
36,33,Fuchsia,0
37,34,Fuchsia - Dark,0
38,35,Fuchsia - Very Dark,0
47,158,Blue - Dark,0
48,159,Petrol Blue - Light,0
49,160,Petrol Blue - Medium,0
50,161,Petrol Blue - Dark,0
51,162,Baby Blue - Light,0
52,163,Green,0
54,165,Green - Bright,0
55,166,Lime Green,0
56,167,Khaki Brown,0
58,169,Pewter Gray,0
60,209,Lavender - Dark,0
61,210,Lavender - Medium,0
62,211,Lavender - Light,0
63,221,Shell Pink - Very Dark,0
67,^ Depending on your country you may find either/both.,,0
0,300,Mahogany - Very Dark,0
3,307,Lemon,0
7,312,Baby Blue - Very Dark,0
10,317,Pewter Gray,0
12,319,Pistachio Green - Very Dark,0
15,322,Baby Blue,0
17,327,Violet,0
18,333,Blue Violet - Very Dark,0
19,334,Baby Blue - Medium,0
21,336,Blue,0
23,341,Blue Violet - Light,0
32,367,Pistachio Green - Dark,0
33,368,Pistachio Green - Light,0
35,370,Mustard - Medium,0
39,402,Mahogany - Very Light,0
40,407,Desert Sand - Dark,0
41,413,Pewter Gray - Dark,0
45,422,Hazelnut Brown - Light,0
47,434,Brown - Light,0
51,444,Lemon - Dark,0
52,445,Lemon - Light,0
54,452,Shell Gray - Medium,0
60,498,Red - Dark,0
66,505,Grass Green - Dark,0
67,* Hard to find threads,,0
0,517,Wedgewood - Dark,0
1,518,Wedgewood - Light,0
2,519,Sky Blue,0
3,520,Fern Green - Dark,0
10,552,Violet - Medium,0
11,553,Violet,0
12,554,Violet - Light,0
16,564,Jade - Very Light,0
17,580,Moss Green - Dark,0
18,581,Moss Green,0
21,600,Cranberry - Very Dark,0
22,601,Cranberry - Dark,0
23,602,Cranberry - Medium,0
24,603,Cranberry - Light Medium,0
25,604,Cranberry - Light,0
26,605,Cranberry - Very Light,0
33,632,Desert Sand - Ultra Very Dark,0
39,647,Beaver Gray - Medium,0
42,676,Old Gold - Light,0
43,677,Old Gold - Very Light,0
45,699,Green,0
46,700,Green - Bright,0
48,702,Kelly Green,0
51,712,Cream,0
52,718,Plum,0
53,720,Orange Spice - Dark,0
56,725,Topaz,0
58,727,Topaz - Very Light,0
61,730,Olive Green - Very Dark,0
62,731*,Olive Green - Dark,0
67,* Hard to find threads,,0
0,739,Tan - Ultra Very Light,0
2,741,Tangerine - Medium,0
3,742,Tangerine - Light,0
5,744,Yellow - Pale,0
7,746,Off White,0
14,772,Yellow Green - Very Light,0
15,775,Baby Blue - Very Light,0
16,776*,Pink - Medium,0
17,777,Red - Deep,0
18,778,Antique Mauve - Very Light,0
19,779,Brown,0
23,783,Topaz - Medium,0
24,791,Cornflower Blue - Very Dark,0
26,793,Cornflower Blue - Medium,0
27,794,Cornflower Blue - Light,0
28,796,Royal Blue - Dark,0
32,800,Delft Blue - Pale,0
33,801,Coffee Brown - Dark,0
34,803,Blue - Deep,0
37,809,Delft Blue,0
43,818,Baby Pink,0
44,819,Baby Pink - Light,0
45,820,Royal Blue - Very Dark,0
47,823,Blue - Dark,0
50,826,Blue - Medium,0
51,827,Blue - Very Light,0
53,829,Golden Olive - Very Dark,0
56,832,Golden Olive,0
58,834,Golden Olive - Very Light,0
60,839,Beige Brown - Dark,0
63,842,Beige Brown - Very Light,0
65,868*,Hazel Nut Brown,0
3,893,Carnation - Light,0
5,895,Hunter Green - Very Dark,0
6,898,Coffee Brown - Very Dark,0
8,900,Burnt Orange - Dark,0
9,902,Garnet - Very Dark,0
13,907,Parrot Green - Light,0
16,911,Emerald Green - Medium,0
18,913,Nile Green - Medium,0
19,915,Plum - Dark,0
20,917,Plum - Medium,0
21,918,Red Copper - Dark,0
29,928,Gray Green - Very Light,0
30,930,Antique Blue - Dark,0
35,936,Avocado Green - Very Dark,0
37,938,Coffee Brown - Ultra Dark,0
38,939,Blue - Very Dark,0
40,945,Tawny,0
41,946,Burnt Orange - Medium,0
45,951,Tawny - Light,0
46,954,Nile Green,0
47,955,Nile Green - Light,0
49,957,Geranium - Pale,0
51,959,Seagreen - Medium,0
52,961,Dusty Rose - Dark,0
55,964,Seagreen - Light,0
56,966,Baby Green - Medium,0
57,967,Peach - Light,0
59,971*,Pumpkin,0
60,972,Canary - Deep,0
61,973,Canary - Bright,0
65,986,Forest Green - Very Dark,0
66,987,Forest Green - Dark,0
0,988.0,Forest Green - Medium,0
